workload,owner,schema,table,index,idx_scan,idx_tup_read,idx_tup_fetch,index_size,table_size,advisor_reported,migration_version,migration_path,review_status,approved_to_drop,approval_reason,approved_by,reviewed_routes_or_jobs,stats_window_checked_at,rollback_sql,drop_sql
public/survey candidates,survey/public app owner,firebase_surveys,answers,idx_firebase_answers_response,0,0,0,8192 bytes,48 kB,True,,,drop_review_required,no,,,,,CREATE INDEX idx_firebase_answers_response ON firebase_surveys.answers USING btree (response_id);,"DROP INDEX CONCURRENTLY IF EXISTS ""firebase_surveys"".""idx_firebase_answers_response"";"
public/survey candidates,survey/public app owner,firebase_surveys,responses,idx_firebase_responses_user,0,0,0,8192 bytes,40 kB,True,,,drop_review_required,no,,,,,CREATE INDEX idx_firebase_responses_user ON firebase_surveys.responses USING btree (user_id);,"DROP INDEX CONCURRENTLY IF EXISTS ""firebase_surveys"".""idx_firebase_responses_user"";"
public/survey candidates,survey/public app owner,firebase_surveys,survey_trr_links,idx_survey_trr_links_season,0,0,0,16 kB,72 kB,True,,,drop_review_required,no,,,,,CREATE INDEX idx_survey_trr_links_season ON firebase_surveys.survey_trr_links USING btree (trr_season_id);,"DROP INDEX CONCURRENTLY IF EXISTS ""firebase_surveys"".""idx_survey_trr_links_season"";"
public/survey candidates,survey/public app owner,public,flashback_sessions,idx_flashback_sessions_quiz,0,0,0,8192 bytes,40 kB,True,,,drop_review_required,yes,Owner requested flashback game removal for now; no runtime reader for public.flashback_sessions found; live table empty; parent delete FK lookup risk accepted because feature is not set up,Thomas Hulihan owner approval via Codex 2026-04-28,TRR-APP flashback disabled/admin route tests; rg flashback_sessions runtime review; live constraints/index stats,2026-04-28T05:37:38Z stats_reset=2025-12-05 20:00:25.270075+00,CREATE INDEX idx_flashback_sessions_quiz ON public.flashback_sessions USING btree (quiz_id);,"DROP INDEX CONCURRENTLY IF EXISTS ""public"".""idx_flashback_sessions_quiz"";"
public/survey candidates,survey/public app owner,public,flashback_sessions,idx_flashback_sessions_user,0,0,0,8192 bytes,40 kB,True,,,drop_review_required,yes,Owner requested flashback game removal for now; no runtime reader for public.flashback_sessions found; live table empty; retained unique user_id_quiz_id prefix covers user lookup rollback path,Thomas Hulihan owner approval via Codex 2026-04-28,TRR-APP flashback disabled/admin route tests; rg flashback_sessions runtime review; live constraints/index stats,2026-04-28T05:37:38Z stats_reset=2025-12-05 20:00:25.270075+00,CREATE INDEX idx_flashback_sessions_user ON public.flashback_sessions USING btree (user_id);,"DROP INDEX CONCURRENTLY IF EXISTS ""public"".""idx_flashback_sessions_user"";"
public/survey candidates,survey/public app owner,public,survey_cast,idx_survey_cast_display_order,0,0,0,8192 bytes,56 kB,True,,,drop_review_required,no,,,,,"CREATE INDEX idx_survey_cast_display_order ON public.survey_cast USING btree (survey_id, display_order);","DROP INDEX CONCURRENTLY IF EXISTS ""public"".""idx_survey_cast_display_order"";"
public/survey candidates,survey/public app owner,public,survey_cast,idx_survey_cast_is_alumni,0,0,0,8192 bytes,56 kB,True,,,drop_review_required,no,,,,,"CREATE INDEX idx_survey_cast_is_alumni ON public.survey_cast USING btree (survey_id, is_alumni) WHERE (is_alumni = true);","DROP INDEX CONCURRENTLY IF EXISTS ""public"".""idx_survey_cast_is_alumni"";"
public/survey candidates,survey/public app owner,public,survey_cast,idx_survey_cast_status,0,0,0,8192 bytes,56 kB,True,,,drop_review_required,no,,,,,CREATE INDEX idx_survey_cast_status ON public.survey_cast USING btree (status);,"DROP INDEX CONCURRENTLY IF EXISTS ""public"".""idx_survey_cast_status"";"
public/survey candidates,survey/public app owner,public,survey_cast,idx_survey_cast_survey_id,0,0,0,8192 bytes,56 kB,True,,,drop_review_required,no,,,,,CREATE INDEX idx_survey_cast_survey_id ON public.survey_cast USING btree (survey_id);,"DROP INDEX CONCURRENTLY IF EXISTS ""public"".""idx_survey_cast_survey_id"";"
public/survey candidates,survey/public app owner,public,survey_episodes,idx_survey_episodes_air_date,0,0,0,8192 bytes,64 kB,True,,,drop_review_required,no,,,,,CREATE INDEX idx_survey_episodes_air_date ON public.survey_episodes USING btree (air_date);,"DROP INDEX CONCURRENTLY IF EXISTS ""public"".""idx_survey_episodes_air_date"";"
